epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.164,2.45951,3.45456,1.89208,0.1606,0.19388,0.08502,0.02827,2.10601,20.1948,1.91518,0.000409946,0.000409946,0.000409946
2,72.299,2.36593,2.74246,1.87122,0.15538,0.34819,0.11843,0.03809,2.14497,16.4265,1.94881,0.000810246,0.000810246,0.000810246
3,95.7736,2.34886,2.56088,1.85699,0.00549,0.01607,0.00036,9e-05,3.23617,inf,9.1242,0.00119405,0.00119405,0.00119405
4,118.864,2.38607,2.54547,1.88847,0.18103,0.24904,0.11972,0.03882,2.13298,63.0031,1.92576,0.00117575,0.00117575,0.00117575
5,142.239,2.3578,2.49716,1.90274,0.16954,0.26242,0.12683,0.04085,2.06467,18.0162,1.83943,0.001151,0.001151,0.001151
6,165.469,2.30318,2.3884,1.84045,0.44828,0.24473,0.17521,0.06062,2.20644,7.65985,1.91744,0.00112625,0.00112625,0.00112625
7,188.634,2.26987,2.34561,1.8084,0.23025,0.28222,0.1864,0.06238,2.06303,16.5758,1.81177,0.0011015,0.0011015,0.0011015
8,211.647,2.27765,2.33829,1.80384,0.29379,0.3014,0.22587,0.0794,1.97749,7.23357,1.72133,0.00107675,0.00107675,0.00107675
9,234.809,2.2411,2.23607,1.75445,0.24942,0.33355,0.20639,0.06946,1.99086,10.5725,1.71691,0.001052,0.001052,0.001052
10,258.218,2.20051,2.27437,1.75357,0.31991,0.29904,0.2269,0.07759,1.99876,6.87083,1.74418,0.00102725,0.00102725,0.00102725
11,281.08,2.1985,2.20389,1.77301,0.34175,0.31361,0.26505,0.09361,2.02098,4.09999,1.71038,0.0010025,0.0010025,0.0010025
12,304.146,2.1735,2.17755,1.73889,0.31993,0.34239,0.26404,0.09776,1.94142,5.89442,1.69259,0.00097775,0.00097775,0.00097775
13,327.178,2.17344,2.10874,1.70793,0.38829,0.35271,0.26815,0.09715,1.94868,5.31932,1.73344,0.000953,0.000953,0.000953
