epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.7826,2.11411,2.25808,1.66248,0.38801,0.38291,0.32992,0.12397,1.93563,3.21927,1.66464,0.000409946,0.000409946,0.000409946
2,70.6726,1.98953,1.88836,1.60357,0.41528,0.32512,0.27714,0.10566,1.94662,2.88408,1.66853,0.000806154,0.000806154,0.000806154
3,93.3006,2.0514,1.92716,1.63834,0.35957,0.32127,0.27056,0.09852,1.94718,10.9988,1.70534,0.00118174,0.00118174,0.00118174
4,116.175,2.08037,1.95057,1.64841,0.38883,0.34843,0.30029,0.10989,1.98506,4.89461,1.73645,0.00115719,0.00115719,0.00115719
5,139.113,2.10243,1.9848,1.67315,0.33927,0.31391,0.23613,0.08064,2.01349,3.10693,1.74562,0.00112625,0.00112625,0.00112625
6,162.575,2.04935,1.90676,1.64891,0.42261,0.37251,0.32719,0.12041,1.9612,2.86823,1.71352,0.00109531,0.00109531,0.00109531
7,185.738,2.05096,1.8878,1.64371,0.3684,0.38339,0.31609,0.11835,1.9341,3.32473,1.65558,0.00106437,0.00106437,0.00106437
8,208.59,2.06372,1.89558,1.63777,0.40548,0.36371,0.33233,0.12598,1.89537,3.51292,1.69947,0.00103344,0.00103344,0.00103344
9,231.666,2.0245,1.81253,1.57667,0.38294,0.3596,0.30777,0.1132,1.91131,5.42683,1.65816,0.0010025,0.0010025,0.0010025
10,254.697,2.00348,1.8289,1.59006,0.43449,0.39027,0.36754,0.13226,1.93293,3.05152,1.67601,0.000971562,0.000971562,0.000971562
11,277.665,2.00775,1.81199,1.60732,0.40932,0.4346,0.37942,0.13706,1.92361,2.96059,1.66,0.000940625,0.000940625,0.000940625
12,300.758,1.98977,1.79441,1.5999,0.35242,0.40746,0.32137,0.12238,1.92014,4.65078,1.68479,0.000909688,0.000909688,0.000909688
13,323.793,2.00231,1.76464,1.57779,0.42352,0.40399,0.35869,0.13399,1.92538,3.09124,1.69559,0.00087875,0.00087875,0.00087875
14,346.855,1.99631,1.78188,1.58912,0.39021,0.37282,0.32911,0.12344,1.95075,2.49277,1.71294,0.000847813,0.000847813,0.000847813
15,370.256,1.94323,1.7493,1.56996,0.44954,0.38553,0.36451,0.1309,1.95709,3.06182,1.70617,0.000816875,0.000816875,0.000816875
16,393.522,1.95864,1.74702,1.56627,0.43902,0.41339,0.37548,0.14454,1.93888,2.34913,1.673,0.000785938,0.000785938,0.000785938
17,417.01,1.96523,1.7057,1.56987,0.47158,0.4185,0.40237,0.14971,1.91115,2.27951,1.64676,0.000755,0.000755,0.000755
18,440.356,1.9188,1.69986,1.56044,0.43692,0.40889,0.37477,0.14063,1.92297,2.51637,1.66546,0.000724062,0.000724062,0.000724062
19,463.739,1.97046,1.68074,1.5552,0.44223,0.41393,0.38214,0.14732,1.92873,2.94908,1.68635,0.000693125,0.000693125,0.000693125
20,487.015,1.95918,1.69268,1.55553,0.46721,0.41023,0.39426,0.15526,1.904,2.05964,1.66488,0.000662188,0.000662188,0.000662188
