epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.3501,2.28646,5.51356,1.569,0.10072,0.1629,0.04922,0.01534,1.98678,44.4902,1.68129,0.000409946,0.000409946,0.000409946
2,125.07,2.27675,3.10337,1.57581,0.13787,0.22242,0.10991,0.0325,1.9981,33.5239,1.76986,0.000810246,0.000810246,0.000810246
3,179.278,2.29742,2.98758,1.57682,0.28952,0.0597,0.03443,0.01013,2.16977,165.923,1.78493,0.00119405,0.00119405,0.00119405
4,231.491,2.31078,2.96848,1.58287,0.10671,0.23235,0.07285,0.01995,2.09446,17.113,1.70744,0.00117575,0.00117575,0.00117575
5,284.556,2.29741,2.79131,1.53044,0.21531,0.27316,0.12245,0.03752,2.03931,10.5162,1.61549,0.001151,0.001151,0.001151
6,337.709,2.27026,2.7368,1.53772,0.22051,0.23468,0.13027,0.04383,1.99934,17.3934,1.64704,0.00112625,0.00112625,0.00112625
7,390.428,2.24473,2.6905,1.53232,0.17505,0.26519,0.15716,0.04808,1.93884,5.82155,1.55981,0.0011015,0.0011015,0.0011015
8,443.62,2.21727,2.56667,1.46768,0.46923,0.26053,0.19051,0.05941,1.91074,5.406,1.57476,0.00107675,0.00107675,0.00107675
9,496.685,2.18785,2.52779,1.51103,0.30198,0.32603,0.21723,0.07015,1.89869,4.36206,1.56138,0.001052,0.001052,0.001052
10,549.923,2.20997,2.50108,1.50742,0.28252,0.29862,0.20863,0.07072,1.90195,4.19789,1.54445,0.00102725,0.00102725,0.00102725
11,602.889,2.19886,2.4369,1.47814,0.30066,0.31984,0.23024,0.07653,1.90196,8.10855,1.57304,0.0010025,0.0010025,0.0010025
12,655.73,2.15816,2.43651,1.47537,0.26598,0.30368,0.20829,0.06848,1.90884,2.62414,1.51951,0.00097775,0.00097775,0.00097775
13,708.686,2.14073,2.38393,1.45714,0.31905,0.30232,0.2136,0.06888,1.89822,3.17401,1.50342,0.000953,0.000953,0.000953
14,761.526,2.15352,2.38673,1.4666,0.29414,0.34068,0.23478,0.07786,1.91313,2.81447,1.54506,0.00092825,0.00092825,0.00092825
15,814.666,2.16734,2.28589,1.43951,0.32114,0.34148,0.24193,0.08195,1.86344,3.17717,1.47219,0.0009035,0.0009035,0.0009035
16,867.953,2.11639,2.27869,1.4514,0.29354,0.37377,0.25733,0.08891,1.83564,3.1596,1.49747,0.00087875,0.00087875,0.00087875
17,920.884,2.14459,2.2839,1.44103,0.35374,0.32972,0.28051,0.09546,1.87987,3.23541,1.48591,0.000854,0.000854,0.000854
